STORE NAME,TRACKING URL,SITE URL,TITLE,DESCRIPTION,CODE,EXPIRY,PRIORITY,,,,,,,,,,,,,,,,,
AATU,https://www.linkhexa.com/go/short/agh8YJRuWb,https://aatu.co.uk/,15% Off Sitewide,,NEXTSHOP15,12/31/2026,1,,,,,,,,,,,,,,,,,
AATU,https://www.linkhexa.com/go/short/agh8YJRuWb,https://aatu.co.uk/,10% Off On All Orders,,HELLO10,12/31/2026,2,,,,,,,,,,,,,,,,,
AATU,https://www.linkhexa.com/go/short/agh8YJRuWb,https://aatu.co.uk/,10% Off On Everything,,WELCOME10,12/31/2026,3,,,,,,,,,,,,,,,,,
AATU,https://www.linkhexa.com/go/short/agh8YJRuWb,https://aatu.co.uk/,10% Off On Your Purchase,,NCFO-4RL6H6T6,12/31/2026,4,,,,,,,,,,,,,,,,,
AATU,https://www.linkhexa.com/go/short/agh8YJRuWb,https://aatu.co.uk/,Free Shipping On Order Over £50,,,12/31/2026,5,,,,,,,,,,,,,,,,,
AATU,https://www.linkhexa.com/go/short/agh8YJRuWb,https://aatu.co.uk/,30% Off On Newsletter Sign Up,,,12/31/2026,6,,,,,,,,,,,,,,,,,
AATU,https://www.linkhexa.com/go/short/agh8YJRuWb,https://aatu.co.uk/,Up To 30% Off On Dogs Food,,,12/31/2026,7,,,,,,,,,,,,,,,,,
AATU,https://www.linkhexa.com/go/short/agh8YJRuWb,https://aatu.co.uk/,Up To 30% Off On Cat Foods,,,12/31/2026,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TopOak Overland,https://www.linkhexa.com/go/short/VTHwaPHQJm,https://topoakoverland.com/,$5 Off Sitewide,,TP35_P5W28Z,12/31/2026,1,,,,,,,,,,,,,,,,,
TopOak Overland,https://www.linkhexa.com/go/short/VTHwaPHQJm,https://topoakoverland.com/,$5 Off On All Orders,,TP35_2FM6C5,12/31/2026,2,,,,,,,,,,,,,,,,,
TopOak Overland,https://www.linkhexa.com/go/short/VTHwaPHQJm,https://topoakoverland.com/,$5 Off On Your Order,,TP35_ACIYP4,12/31/2026,3,,,,,,,,,,,,,,,,,
TopOak Overland,https://www.linkhexa.com/go/short/VTHwaPHQJm,https://topoakoverland.com/,$5 Off On Every Purchase,,TP35_IJRZXW,12/31/2026,4,,,,,,,,,,,,,,,,,
TopOak Overland,https://www.linkhexa.com/go/short/VTHwaPHQJm,https://topoakoverland.com/,15% Off On Selected Items,,PICKUPONLY-RTT,12/31/2026,5,,,,,,,,,,,,,,,,,
TopOak Overland,https://www.linkhexa.com/go/short/VTHwaPHQJm,https://topoakoverland.com/,Free Shipping On All Orders,,,12/31/2026,6,,,,,,,,,,,,,,,,,
TopOak Overland,https://www.linkhexa.com/go/short/VTHwaPHQJm,https://topoakoverland.com/,$5 Off On Newsletter Sign Up,,,12/31/2026,7,,,,,,,,,,,,,,,,,
TopOak Overland,https://www.linkhexa.com/go/short/VTHwaPHQJm,https://topoakoverland.com/,Up To $150 Off On Sale Items,,,12/31/2026,8,,,,,,,,,,,,,,,,,
TopOak Overland,https://www.linkhexa.com/go/short/VTHwaPHQJm,https://topoakoverland.com/,Up To $150 Off On Roof Top Camps,,,12/31/2026,9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Abracadabra NYC,https://www.linkhexa.com/go/short/8AyL5AxzMb,https://abracadabranyc.com/,10% Off Sitewide,,ABRACADABRA10,12/31/2026,1,,,,,,,,,,,,,,,,,
Abracadabra NYC,https://www.linkhexa.com/go/short/8AyL5AxzMb,https://abracadabranyc.com/,10% Off On All Orders,,THATGEEKFAMILY,12/31/2026,2,,,,,,,,,,,,,,,,,
Abracadabra NYC,https://www.linkhexa.com/go/short/8AyL5AxzMb,https://abracadabranyc.com/,10% Off On Everything,,NIBOT,12/31/2026,3,,,,,,,,,,,,,,,,,
Abracadabra NYC,https://www.linkhexa.com/go/short/8AyL5AxzMb,https://abracadabranyc.com/,15% Off On All Magics,,MAGIC15,12/31/2026,4,,,,,,,,,,,,,,,,,
Abracadabra NYC,https://www.linkhexa.com/go/short/8AyL5AxzMb,https://abracadabranyc.com/,Free Shipping On Order Over $99,,,12/31/2026,5,,,,,,,,,,,,,,,,,
Abracadabra NYC,https://www.linkhexa.com/go/short/8AyL5AxzMb,https://abracadabranyc.com/,10% Off On Newsletter Sign Up,,,12/31/2026,6,,,,,,,,,,,,,,,,,
Abracadabra NYC,https://www.linkhexa.com/go/short/8AyL5AxzMb,https://abracadabranyc.com/,Buy 1 T Shirt & Get 1 50% Off,,,12/31/2026,7,,,,,,,,,,,,,,,,,
Abracadabra NYC,https://www.linkhexa.com/go/short/8AyL5AxzMb,https://abracadabranyc.com/,Buy 1 Mug & Get 1 50% Off,,,12/31/2026,8,,,,,,,,,,,,,,,,,
Abracadabra NYC,https://www.linkhexa.com/go/short/8AyL5AxzMb,https://abracadabranyc.com/,Buy 1 Props & Get 1 50% Off,,,12/31/2026,9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Acmer,https://www.linkhexa.com/go/short/DEQEtUfhzP,https://acmerlaser.com/,10% Off Sitewide,,BRSRWR7GZZAY,12/31/2026,1,,,,,,,,,,,,,,,,,
Acmer,https://www.linkhexa.com/go/short/DEQEtUfhzP,https://acmerlaser.com/,10% Off On Everything,,4G1MRX1AE66G,12/31/2026,2,,,,,,,,,,,,,,,,,
Acmer,https://www.linkhexa.com/go/short/DEQEtUfhzP,https://acmerlaser.com/,10% Off On All Orders,,5RTST0PQ6ZA8,12/31/2026,3,,,,,,,,,,,,,,,,,
Acmer,https://www.linkhexa.com/go/short/DEQEtUfhzP,https://acmerlaser.com/,10% Off On Your Purchase,,DKZCW0QY5PQ3,12/31/2026,4,,,,,,,,,,,,,,,,,
Acmer,https://www.linkhexa.com/go/short/DEQEtUfhzP,https://acmerlaser.com/,Free Shipping On All Orders,,,12/31/2026,5,,,,,,,,,,,,,,,,,
Acmer,https://www.linkhexa.com/go/short/DEQEtUfhzP,https://acmerlaser.com/,Up To 65% Off On Mother's Day Sale,,,12/31/2026,6,,,,,,,,,,,,,,,,,
Acmer,https://www.linkhexa.com/go/short/DEQEtUfhzP,https://acmerlaser.com/,Up Tp 50% Off On Sale Items,,,12/31/2026,7,,,,,,,,,,,,,,,,,
Acmer,https://www.linkhexa.com/go/short/DEQEtUfhzP,https://acmerlaser.com/,Up To 40% Off On Selected Items,,,12/31/2026,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Adept Knives,https://www.linkhexa.com/go/short/fKJa2Re43t,https://www.adeptknives.com/,20% Off Sitewide,,WELCOME,12/31/2026,1,,,,,,,,,,,,,,,,,
Adept Knives,https://www.linkhexa.com/go/short/fKJa2Re43t,https://www.adeptknives.com/,20% Off On Selected Items,,VIP,12/31/2026,2,,,,,,,,,,,,,,,,,
Adept Knives,https://www.linkhexa.com/go/short/fKJa2Re43t,https://www.adeptknives.com/,Free Shipping On All Orders,,,12/31/2026,3,,,,,,,,,,,,,,,,,
Adept Knives,https://www.linkhexa.com/go/short/fKJa2Re43t,https://www.adeptknives.com/,20% Off On Newsletter Sign Up,,,12/31/2026,4,,,,,,,,,,,,,,,,,
Adept Knives,https://www.linkhexa.com/go/short/fKJa2Re43t,https://www.adeptknives.com/,Up To 40% Off On Sale Knives,,,12/31/2026,5,,,,,,,,,,,,,,,,,
Adept Knives,https://www.linkhexa.com/go/short/fKJa2Re43t,https://www.adeptknives.com/,Up To 40% Off On Openers,,,12/31/2026,6,,,,,,,,,,,,,,,,,
Adept Knives,https://www.linkhexa.com/go/short/fKJa2Re43t,https://www.adeptknives.com/,Up To 30% Off On Blade Steel,,,12/31/2026,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
AEKE,https://www.linkhexa.com/go/short/PwGwZZqkjY,https://aeke.com/,$100 Off Sitewide,,VIP100,12/31/2026,1,,,,,,,,,,,,,,,,,
AEKE,https://www.linkhexa.com/go/short/PwGwZZqkjY,https://aeke.com/,$50 Off On All Orders,,Extra50,12/31/2026,2,,,,,,,,,,,,,,,,,
AEKE,https://www.linkhexa.com/go/short/PwGwZZqkjY,https://aeke.com/,$50 Off On Everything,,VIP50,12/31/2026,3,,,,,,,,,,,,,,,,,
AEKE,https://www.linkhexa.com/go/short/PwGwZZqkjY,https://aeke.com/,10% Off On Selected Orders,,HTT,12/31/2026,4,,,,,,,,,,,,,,,,,
AEKE,https://www.linkhexa.com/go/short/PwGwZZqkjY,https://aeke.com/,Free Shipping On All Orders,,,12/31/2026,5,,,,,,,,,,,,,,,,,
AEKE,https://www.linkhexa.com/go/short/PwGwZZqkjY,https://aeke.com/,10% Off On Newsletter Sign Up,,,12/31/2026,6,,,,,,,,,,,,,,,,,
AEKE,https://www.linkhexa.com/go/short/PwGwZZqkjY,https://aeke.com/,$1200 Off On Mother's Day Sale,,,12/31/2026,7,,,,,,,,,,,,,,,,,
AEKE,https://www.linkhexa.com/go/short/PwGwZZqkjY,https://aeke.com/,Up To 30% Off On Sale Items,,,12/31/2026,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
